scale_size,strain_max_avg,strain_min_avg,sigma_max_avg,w_avg,w_effective,N0_w
100,1.00085148456751,1.0000833197708994,178.25285236502435,2.1261336835921028,1.9153802774209976,1106.2997786001345
80,1.000788539768624,1.0000894943043763,165.38345098310225,2.1059720146690895,1.9452798127588427,1076.7142360993241
60,1.0006692704788231,1.0000376729096063,140.1141281093584,2.0820501930728597,1.8069043142275587,1225.1311269056903
40,1.0005599694532714,1.0000069685842805,117.05294539160536,2.061932239597144,2.090914496982807,948.9222196304526
