label;E_vol
1;1.20001
2;1.20002
3;1.20004
4;1.20006
5;1.20007
6;1.20008
7;1.2001
8;1.20011
9;1.20012
10;1.20013
11;1.20014
12;1.20014
13;1.20015
14;1.20015
15;1.20016
16;1.20016
17;1.20016
18;1.20016
19;1.20016
20;1.20016
21;1.20016
22;1.20015
23;1.20015
24;1.20014
25;1.20014
26;1.20013
27;1.20012
28;1.20011
29;1.2001
30;1.20009
31;1.20007
32;1.20005
33;1.20004
34;1.20002
35;1.20001
36;1.20001
37;1.20003
38;1.20004
39;1.20006
40;1.20007
41;1.20008
42;1.20009
43;1.20011
44;1.20011
45;1.20012
46;1.20013
47;1.20014
48;1.20014
49;1.20014
50;1.20015
51;1.20015
52;1.20015
53;1.20015
54;1.20015
55;1.20015
56;1.20015
57;1.20014
58;1.20014
59;1.20014
60;1.20013
61;1.20012
62;1.20011
63;1.20011
64;1.20009
65;1.20008
66;1.20007
67;1.20006
68;1.20004
69;1.20003
70;1.20001
71;1.20002
72;1.20003
73;1.20005
74;1.20006
75;1.20007
76;1.20008
77;1.20009
78;1.2001
79;1.20011
80;1.20012
81;1.20012
82;1.20013
83;1.20013
84;1.20014
85;1.20014
86;1.20014
87;1.20014
88;1.20014
89;1.20014
90;1.20014
91;1.20014
92;1.20014
93;1.20013
94;1.20013
95;1.20012
96;1.20012
97;1.20011
98;1.2001
99;1.20009
100;1.20008
101;1.20007
102;1.20006
103;1.20005
104;1.20003
105;1.20002
106;1.20003
107;1.20004
108;1.20005
109;1.20006
110;1.20007
111;1.20008
112;1.20009
113;1.2001
114;1.20011
115;1.20011
116;1.20012
117;1.20012
118;1.20013
119;1.20013
120;1.20014
121;1.20014
122;1.20014
123;1.20014
124;1.20014
125;1.20014
126;1.20014
127;1.20013
128;1.20013
129;1.20012
130;1.20012
131;1.20011
132;1.20011
133;1.2001
134;1.20009
135;1.20008
136;1.20007
137;1.20006
138;1.20005
139;1.20004
140;1.20003
141;1.20004
142;1.20005
143;1.20006
144;1.20007
145;1.20007
146;1.20008
147;1.20009
148;1.2001
149;1.2001
150;1.20011
151;1.20012
152;1.20012
153;1.20012
154;1.20013
155;1.20013
156;1.20013
157;1.20013
158;1.20013
159;1.20013
160;1.20013
161;1.20013
162;1.20013
163;1.20012
164;1.20012
165;1.20012
166;1.20011
167;1.2001
168;1.2001
169;1.20009
170;1.20008
171;1.20007
172;1.20007
173;1.20006
174;1.20005
175;1.20004
176;1.20005
177;1.20006
178;1.20006
179;1.20007
180;1.20008
181;1.20008
182;1.20009
183;1.2001
184;1.2001
185;1.20011
186;1.20011
187;1.20012
188;1.20012
189;1.20012
190;1.20013
191;1.20013
192;1.20013
193;1.20013
194;1.20013
195;1.20013
196;1.20013
197;1.20012
198;1.20012
199;1.20012
200;1.20011
201;1.20011
202;1.2001
203;1.2001
204;1.20009
205;1.20008
206;1.20008
207;1.20007
208;1.20006
209;1.20006
210;1.20005
211;1.20006
212;1.20006
213;1.20007
214;1.20007
215;1.20008
216;1.20009
217;1.20009
218;1.2001
219;1.2001
220;1.20011
221;1.20011
222;1.20011
223;1.20012
224;1.20012
225;1.20012
226;1.20012
227;1.20012
228;1.20012
229;1.20012
230;1.20012
231;1.20012
232;1.20012
233;1.20012
234;1.20011
235;1.20011
236;1.20011
237;1.2001
238;1.2001
239;1.20009
240;1.20009
241;1.20008
242;1.20007
243;1.20007
244;1.20006
245;1.20006
246;1.20006
247;1.20007
248;1.20007
249;1.20008
250;1.20008
251;1.20009
252;1.20009
253;1.2001
254;1.2001
255;1.20011
256;1.20011
257;1.20011
258;1.20012
259;1.20012
260;1.20012
261;1.20012
262;1.20012
263;1.20012
264;1.20012
265;1.20012
266;1.20012
267;1.20012
268;1.20012
269;1.20011
270;1.20011
271;1.20011
272;1.2001
273;1.2001
274;1.20009
275;1.20009
276;1.20008
277;1.20008
278;1.20007
279;1.20007
280;1.20006
281;1.20007
282;1.20007
283;1.20008
284;1.20008
285;1.20008
286;1.20009
287;1.20009
288;1.2001
289;1.2001
290;1.2001
291;1.20011
292;1.20011
293;1.20011
294;1.20011
295;1.20012
296;1.20012
297;1.20012
298;1.20012
299;1.20012
300;1.20012
301;1.20012
302;1.20011
303;1.20011
304;1.20011
305;1.20011
306;1.2001
307;1.2001
308;1.2001
309;1.20009
310;1.20009
311;1.20008
312;1.20008
313;1.20008
314;1.20007
315;1.20007
316;1.20008
317;1.20008
318;1.20008
319;1.20008
320;1.20009
321;1.20009
322;1.20009
323;1.2001
324;1.2001
325;1.2001
326;1.20011
327;1.20011
328;1.20011
329;1.20011
330;1.20011
331;1.20012
332;1.20012
333;1.20012
334;1.20012
335;1.20012
336;1.20011
337;1.20011
338;1.20011
339;1.20011
340;1.20011
341;1.2001
342;1.2001
343;1.2001
344;1.20009
345;1.20009
346;1.20009
347;1.20008
348;1.20008
349;1.20008
350;1.20008
351;1.20008
352;1.20008
353;1.20008
354;1.20009
355;1.20009
356;1.20009
357;1.2001
358;1.2001
359;1.2001
360;1.2001
361;1.20011
362;1.20011
363;1.20011
364;1.20011
365;1.20011
366;1.20011
367;1.20011
368;1.20011
369;1.20011
370;1.20011
371;1.20011
372;1.20011
373;1.20011
374;1.20011
375;1.20011
