label;LE_max;S_max
2530;0.000403065;84.465
2531;0.000403415;84.5115
2532;0.000403767;84.5598
2533;0.000404099;84.6066
2534;0.000404396;84.649
2535;0.000404641;84.6845
2536;0.000404825;84.7114
2537;0.000404939;84.7279
2538;0.000404978;84.7336
2539;0.000404939;84.7279
2540;0.000404825;84.7113
2541;0.000404641;84.6845
2542;0.000404395;84.649
2543;0.000404099;84.6066
2544;0.000403767;84.5598
2545;0.000403415;84.5115
2546;0.000403065;84.465
2547;0.000402736;84.4238
2548;0.000402451;84.3919
2549;0.000402234;84.3729
2550;0.000402106;84.371
2551;0.00040209;84.3893
2552;0.000402202;84.4314
2553;0.000402458;84.4995
2554;0.00040287;84.596
2555;0.000403446;84.7226
2556;0.000403387;84.7104
2557;0.000402916;84.6071
2558;0.000402571;84.5271
2559;0.000402348;84.4689
2560;0.000402238;84.4315
2561;0.000402232;84.4129
2562;0.000402316;84.4108
2563;0.000402474;84.4224
2564;0.000402688;84.4448
2565;0.000402939;84.4748
2566;0.000403209;84.5094
2567;0.000403481;84.5456
2568;0.00040374;84.5811
2569;0.000403971;84.6132
2570;0.000404164;84.6404
2571;0.000404308;84.6608
2572;0.000404397;84.6736
2573;0.000404427;84.6779
2574;0.000404397;84.6736
2575;0.000404308;84.6608
2576;0.000404163;84.6404
2577;0.000403971;84.6132
2578;0.00040374;84.5811
2579;0.000403481;84.5456
2580;0.000403209;84.5094
2581;0.000402939;84.4748
2582;0.000402688;84.4448
2583;0.000402474;84.4224
2584;0.000402316;84.4108
2585;0.000402232;84.4129
2586;0.000402238;84.4315
2587;0.000402348;84.4689
2588;0.000402571;84.5271
2589;0.000402916;84.6071
2590;0.000403387;84.7104
2591;0.000403271;84.6864
2592;0.000402907;84.6068
2593;0.000402632;84.5436
2594;0.000402445;84.4964
2595;0.000402346;84.4647
2596;0.000402327;84.4477
2597;0.00040238;84.4435
2598;0.000402491;84.4502
2599;0.000402647;84.4652
2600;0.000402833;84.4864
2601;0.000403036;84.5112
2602;0.000403241;84.5376
2603;0.000403437;84.5634
2604;0.000403613;84.5871
2605;0.00040376;84.607
2606;0.00040387;84.6221
2607;0.000403938;84.6315
2608;0.000403961;84.6347
2609;0.000403938;84.6315
2610;0.00040387;84.6221
2611;0.00040376;84.607
2612;0.000403613;84.5871
2613;0.000403437;84.5634
2614;0.000403241;84.5376
2615;0.000403036;84.5112
2616;0.000402833;84.4864
2617;0.000402647;84.4652
2618;0.000402491;84.4502
2619;0.000402379;84.4435
2620;0.000402327;84.4477
2621;0.000402346;84.4647
2622;0.000402445;84.4964
2623;0.000402632;84.5436
2624;0.000402907;84.6068
2625;0.000403271;84.6863
2626;0.000403117;84.6543
2627;0.000402859;84.5984
2628;0.000402651;84.5518
2629;0.000402503;84.5156
2630;0.000402418;84.4905
2631;0.000402393;84.4762
2632;0.000402423;84.4716
2633;0.000402498;84.475
2634;0.000402608;84.4848
2635;0.000402742;84.499
2636;0.000402888;84.516
2637;0.000403038;84.5342
2638;0.000403181;84.5521
2639;0.00040331;84.5686
2640;0.000403418;84.5825
2641;0.000403499;84.593
2642;0.00040355;84.5996
2643;0.000403567;84.6018
2644;0.00040355;84.5996
2645;0.000403499;84.593
2646;0.000403418;84.5825
2647;0.00040331;84.5686
2648;0.000403181;84.5521
2649;0.000403038;84.5342
2650;0.000402888;84.516
2651;0.000402742;84.499
