label;LE_max;S_max
1;1.34843e-05;2.77637
2;5.81365e-05;11.9141
3;0.000111664;22.6748
4;0.000161552;32.6821
5;0.000203146;40.9767
6;0.000245471;49.5721
7;0.00028368;57.3431
8;0.000315591;63.8815
9;0.000343787;69.6425
10;0.000366888;74.4007
11;0.000386157;78.4008
12;0.000402164;81.7201
13;0.000415638;84.5222
14;0.000425952;86.6784
15;0.000433728;88.3168
16;0.00043908;89.4333
17;0.000442287;90.1149
18;0.000443405;90.3402
19;0.000442429;90.1369
20;0.000439258;89.4681
21;0.000433835;88.3293
22;0.000426073;86.7044
23;0.000415622;84.5221
24;0.000402598;81.8048
25;0.000385865;78.3384
26;0.000366361;74.3211
27;0.000343041;69.486
28;0.000315313;63.8094
29;0.000283111;57.2741
30;0.000247847;50.0855
31;0.000206406;41.6382
32;0.000157799;31.8718
33;0.000110836;22.5132
34;5.90003e-05;12.0887
35;1.33305e-05;2.74081
36;3.19665e-05;6.46468
37;8.20054e-05;16.535
38;0.000128133;25.6699
39;0.00017072;34.2076
40;0.000211235;42.3872
41;0.000248577;49.8481
42;0.00028241;56.6957
43;0.000312277;62.7683
44;0.000337604;67.9575
45;0.000359558;72.47
46;0.000377828;76.2433
47;0.000393232;79.4385
48;0.000405744;82.0362
49;0.000415831;84.1403
50;0.000423319;85.7025
51;0.00042857;86.8099
52;0.000431685;87.4567
53;0.000432732;87.6808
54;0.000431746;87.4685
55;0.000428655;86.8217
56;0.000423415;85.7236
57;0.00041584;84.1401
58;0.000405954;82.0776
59;0.000393175;79.4228
60;0.000377798;76.2446
61;0.000359226;72.401
62;0.000337336;67.9138
63;0.000311679;62.6661
64;0.000282713;56.7635
65;0.000249738;50.0717
66;0.00021202;42.4826
67;0.00017115;34.3309
68;0.000126458;25.3566
69;8.20699e-05;16.5214
70;3.20531e-05;6.50802
71;5.39774e-05;11.1566
72;0.000100055;20.138
73;0.000141456;28.3661
74;0.000180927;36.1716
75;0.000217427;43.4083
76;0.000250882;50.128
77;0.00028152;56.2726
78;0.000308558;61.7481
79;0.00033232;66.582
80;0.000352557;70.7255
81;0.000369969;74.3046
82;0.000384431;77.2877
83;0.00039643;79.7752
84;0.000405909;81.7419
85;0.000413183;83.2606
86;0.000418246;84.3129
87;0.000421247;84.9449
88;0.000422265;85.1533
89;0.000421274;84.9489
90;0.000418301;84.3246
91;0.000413217;83.2638
92;0.00040602;81.7645
93;0.000396415;79.7699
94;0.000384482;77.3021
95;0.00036984;74.2771
96;0.000352444;70.7102
97;0.000331983;66.5226
98;0.000308508;61.7489
99;0.000281707;56.3194
100;0.000251382;50.2129
101;0.000217821;43.5014
102;0.000180879;36.1325
103;0.000141557;28.3837
104;9.93706e-05;20.0372
105;5.42567e-05;11.17
106;7.73483e-05;16.0633
107;0.000115536;23.4991
108;0.000153857;30.9125
109;0.000189105;37.8356
110;0.000222104;44.3538
111;0.000252678;50.4051
112;0.00028023;55.9134
113;0.000305154;60.9096
114;0.000326938;65.3138
115;0.000346004;69.1862
116;0.000362195;72.4938
117;0.000375961;75.3187
118;0.000387244;77.6387
119;0.000396342;79.5191
120;0.000403246;80.9448
121;0.000408121;81.9599
122;0.00041102;82.5584
123;0.000411973;82.7597
124;0.00041104;82.5625
125;0.000408142;81.9622
126;0.000403299;80.957
127;0.000396349;79.5182
128;0.000387298;77.6512
129;0.000375919;75.3074
130;0.000362169;72.4932
131;0.000345845;69.1574
132;0.000326886;65.3095
133;0.000305116;60.9068
134;0.000280452;55.9506
135;0.000252867;50.4447
136;0.000222382;44.3899
137;0.000189174;37.8599
138;0.000153609;30.8738
139;0.000115576;23.487
140;7.70359e-05;16.0451
141;9.94791e-05;20.7909
142;0.000130984;26.8319
143;0.000164102;33.2051
144;0.000196166;39.3924
145;0.000226054;45.2162
146;0.000253599;50.6308
147;0.000278947;55.6369
148;0.000301573;60.1455
149;0.00032185;64.2027
150;0.000339461;67.7517
151;0.000354756;70.8483
152;0.000367632;73.4661
153;0.00037837;75.6607
154;0.000386952;77.417
155;0.000393553;78.7757
156;0.000398205;79.7301
157;0.00040097;80.3027
158;0.000401904;80.4925
159;0.000400977;80.3035
160;0.000398231;79.7358
161;0.000393566;78.7763
162;0.000386987;77.4255
163;0.000378357;75.6566
164;0.000367635;73.4703
165;0.000354689;70.835
166;0.00033944;67.7516
167;0.000321786;64.193
168;0.000301659;60.1615
169;0.000278983;55.6473
170;0.000253809;50.6651
171;0.000226103;45.2308
172;0.000196234;39.4002
173;0.000164137;33.2029
174;0.000130775;26.8115
175;9.95319e-05;20.7695
176;0.000120513;25.1992
177;0.00014553;30.0208
178;0.000174091;35.4314
179;0.000202318;40.8325
180;0.000229208;46.0087
181;0.000254317;50.8825
182;0.000277245;55.3705
183;0.000298185;59.4919
184;0.00031675;63.175
185;0.000333233;66.461
186;0.000347435;69.3088
187;0.000359603;71.7614
188;0.000369685;73.7989
189;0.000377848;75.4573
190;0.000384102;76.7276
191;0.00038853;77.633
192;0.000391177;78.1711
193;0.000392047;78.3509
194;0.000391186;78.1731
195;0.000388538;77.6335
196;0.000384121;76.7326
197;0.00037785;75.4562
198;0.000369698;73.8035
199;0.000359581;71.7559
200;0.000347434;69.3115
201;0.000333193;66.4536
202;0.00031679;63.1836
203;0.000298172;59.4916
204;0.000277374;55.3929
205;0.00025434;50.8885
206;0.000229338;46.0292
207;0.000202339;40.8343
208;0.000174036;35.4285
209;0.000145569;30.0124
210;0.000120308;25.1791
211;0.000139493;29.2267
212;0.000159568;33.0497
213;0.000183428;37.5574
214;0.000208139;42.2204
215;0.000232108;46.7877
216;0.000254677;51.1183
217;0.000275673;55.1781
218;0.000294707;58.8876
219;0.000311949;62.2677
220;0.000327128;65.2632
221;0.000340453;67.9064
222;0.0003518;70.167
223;0.000361326;72.0749
224;0.000369007;73.616
225;0.000374938;74.8123
226;0.000379143;75.6585
227;0.000381647;76.1664
228;0.00038249;76.3352
229;0.00038165;76.1666
230;0.000379152;75.661
231;0.000374944;74.8123
232;0.000369019;73.6196
233;0.000361321;72.0729
234;0.000351806;70.1704
235;0.000340434;67.9024
236;0.000327152;65.2692
237;0.000311932;62.2651
238;0.000294786;58.9017
239;0.000275679;55.1791
240;0.000254788;51.1368
241;0.000232121;46.789
242;0.000208173;42.2285
243;0.00018346;37.555
244;0.000159472;33.0403
245;0.000139492;29.2106
246;0.000156832;32.8657
247;0.000172554;35.8696
248;0.000192468;39.5879
249;0.000213689;43.5674
250;0.000234832;47.5453
251;0.000255114;51.3957
252;0.000274032;55.0129
253;0.000291519;58.3807
254;0.000307265;61.4341
255;0.000321391;64.1894
256;0.000333712;66.6056
257;0.000344361;68.7049
258;0.000353264;70.4656
259;0.000360514;71.9065
260;0.000366104;73.018
261;0.000370077;73.8122
262;0.000372457;74.2861
263;0.000373242;74.4445
264;0.00037246;74.287
265;0.000370081;73.8124
266;0.000366111;73.0203
267;0.000360517;71.9061
268;0.000353273;70.4686
269;0.000344356;68.7033
270;0.000333729;66.6102
271;0.000321383;64.1874
272;0.000307313;61.4433
273;0.000291515;58.3801
274;0.000274107;55.0267
275;0.000255119;51.3962
276;0.000234891;47.5563
277;0.000213712;43.5669
278;0.000192443;39.587
279;0.000172563;35.8629
280;0.000156723;32.8533
281;0.000172261;36.127
282;0.000184666;38.4685
283;0.000200976;41.5047
284;0.000219098;44.8631
285;0.000237558;48.3098
286;0.00025555;51.6853
287;0.000272648;54.9192
288;0.000288463;57.9297
289;0.00030296;60.7086
290;0.000315907;63.2047
291;0.000327379;65.4291
292;0.000337251;67.3513
293;0.0003456;68.9852
294;0.000352384;70.3151
295;0.000357645;71.3518
296;0.00036139;72.0888
297;0.000363627;72.5318
298;0.000364378;72.6791
299;0.000363629;72.5319
300;0.000361393;72.09
301;0.000357649;71.3519
302;0.00035239;70.3173
303;0.000345602;68.9848
304;0.000337264;67.3549
305;0.000327377;65.4282
306;0.000315937;63.211
307;0.000302958;60.7079
308;0.000288516;57.9395
309;0.000272655;54.9191
310;0.000255607;51.6954
311;0.000237572;48.3098
312;0.000219106;44.8668
313;0.00020099;41.5021
314;0.000184614;38.4626
315;0.00017225;36.1178
316;0.000186092;39.0332
317;0.000195666;40.8379
318;0.000209018;43.2952
319;0.000224286;46.1083
320;0.000240281;49.0591
321;0.000256172;52.0138
322;0.000271418;54.864
323;0.000285764;57.5663
324;0.000298918;60.0579
325;0.00031085;62.3328
326;0.000321392;64.3518
327;0.000330579;66.1209
328;0.000338329;67.6178
329;0.000344677;68.8498
330;0.0003496;69.8057
331;0.000353111;70.491
332;0.000355219;70.9011
333;0.000355918;71.0384
334;0.00035522;70.9016
335;0.000353115;70.4912
336;0.000349604;69.8072
337;0.000344681;68.8499
338;0.000338338;67.6204
339;0.000330582;66.1208
340;0.000321412;64.3562
341;0.000310852;62.3325
342;0.000298953;60.0648
343;0.000285768;57.5662
344;0.000271459;54.8721
345;0.000256181;52.0138
346;0.000240305;49.0643
347;0.000224301;46.1073
348;0.000209;43.2939
349;0.000195664;40.8333
350;0.000186039;39.0263
351;0.000198311;41.6104
352;0.000205699;42.9817
353;0.000216468;44.9531
354;0.00022928;47.2864
355;0.000243006;49.8008
356;0.000256906;52.3556
357;0.000270476;54.8686
358;0.000283327;57.2607
359;0.00029529;59.5032
360;0.000306145;61.5476
361;0.000315861;63.3884
362;0.000324314;64.9957
363;0.000331516;66.3718
364;0.000337409;67.4999
365;0.000342003;68.3834
366;0.000345284;69.014
367;0.000347252;69.3941
368;0.00034791;69.5204
369;0.000347253;69.3942
370;0.000345287;69.0149
371;0.000342007;68.3837
372;0.000337415;67.5018
373;0.000331521;66.3721
374;0.000324328;64.9989
375;0.000315865;63.3885
376;0.000306169;61.5525
377;0.000295295;59.5032
378;0.000283359;57.2668
379;0.000270485;54.8687
380;0.000256933;52.3608
381;0.000243017;49.8005
382;0.000229278;47.2876
383;0.000216472;44.951
384;0.000205669;42.978
385;0.000198301;41.6054
386;0.000209139;43.8868
387;0.00021469;44.908
388;0.000223361;46.4735
389;0.000233991;48.3957
390;0.000245706;50.5163
391;0.000257792;52.7193
392;0.000269749;54.9081
393;0.000281245;57.0278
394;0.000291999;59.0197
395;0.000301885;60.8624
396;0.000310739;62.5193
397;0.000318524;63.984
398;0.000325153;65.2342
399;0.000330616;66.2694
400;0.000334875;67.0771
401;0.000337927;67.6582
402;0.000339761;68.0067
403;0.000340372;68.1237
404;0.000339762;68.0071
405;0.00033793;67.6585
406;0.00033488;67.0783
407;0.000330621;66.2698
408;0.000325162;65.2364
409;0.00031853;63.9844
410;0.000310755;62.5227
411;0.000301891;60.8628
412;0.000292021;59.0241
413;0.000281253;57.0281
414;0.00026977;54.9125
415;0.000257801;52.7194
416;0.000245714;50.5186
417;0.000233999;48.3948
418;0.000223347;46.4721
419;0.000214687;44.9052
420;0.000209113;43.883
421;0.000218645;45.8895
422;0.000222766;46.6291
423;0.000229639;47.8579
424;0.00023843;49.4265
425;0.000248339;51.2059
426;0.000258775;53.0859
427;0.000269264;54.9892
428;0.000279451;56.8455
429;0.000289104;58.6164
430;0.000298014;60.2573
431;0.00030608;61.7515
432;0.00031318;63.0707
433;0.000319274;64.2086
434;0.000324299;65.1482
435;0.000328237;65.8875
436;0.000331059;66.4174
437;0.000332758;66.7376
438;0.000333326;66.844
439;0.00033276;66.7377
440;0.000331062;66.4181
441;0.000328241;65.8879
442;0.000324305;65.1496
443;0.00031928;64.2091
444;0.000313191;63.0731
445;0.000306086;61.752
446;0.00029803;60.2606
447;0.000289112;58.6169
448;0.000279468;56.849
449;0.000269272;54.9895
450;0.000258785;53.0884
451;0.000248347;51.2057
452;0.000238426;49.4266
453;0.000229641;47.8564
454;0.000222748;46.6267
455;0.000218638;45.8868
456;0.000226994;47.6452
457;0.000229929;48.1584
458;0.000235351;49.1089
459;0.000242539;50.3786
460;0.000250884;51.8579
461;0.000259833;53.4561
462;0.000268969;55.0943
463;0.000277961;56.718
464;0.000286549;58.2751
465;0.000294562;59.7369
466;0.000301843;61.0692
467;0.000308307;62.2585
468;0.000313864;63.283
469;0.000318474;64.1365
470;0.000322088;64.8063
471;0.000324689;65.2899
472;0.000326255;65.5807
473;0.000326778;65.6785
474;0.000326256;65.581
475;0.000324691;65.2902
476;0.000322092;64.8072
477;0.000318478;64.137
478;0.000313871;63.2846
479;0.000308313;62.2591
480;0.000301853;61.0716
481;0.000294569;59.7374
482;0.000286562;58.2778
483;0.000277968;56.7185
484;0.000268979;55.0965
485;0.000259841;53.4562
486;0.000250885;51.8587
487;0.000242543;50.3779
488;0.000235342;49.1078
489;0.000229927;48.1567
490;0.000226981;47.6432
491;0.000234276;49.1785
492;0.000236286;49.511
493;0.000240481;50.2327
494;0.000246333;51.2491
495;0.000253299;52.4713
496;0.000260934;53.8175
497;0.000268844;55.2232
498;0.000276724;56.6295
499;0.000284336;57.9969
500;0.000291485;59.2856
501;0.000298038;60.4736
502;0.000303876;61.5346
503;0.000308929;62.4572
504;0.000313126;63.2247
505;0.000316433;63.8316
506;0.000318813;64.2684
507;0.00032025;64.533
508;0.00032073;64.621
509;0.000320251;64.5332
510;0.000318816;64.2689
511;0.000316437;63.832
512;0.000313131;63.2258
513;0.000308934;62.4577
514;0.000303884;61.5363
515;0.000298045;60.4742
516;0.000291495;59.2876
517;0.000284343;57.9974
518;0.000276733;56.6314
519;0.00026885;55.2235
520;0.000260937;53.8186
521;0.000253304;52.4711
522;0.000246329;51.2488
523;0.000240481;50.2318
524;0.000236276;49.5095
525;0.000234271;49.177
526;0.000240618;50.5124
527;0.000241874;50.7013
528;0.000245082;51.2359
529;0.000249787;52.0403
530;0.000255576;53.0404
531;0.000262041;54.1687
532;0.000268852;55.3641
533;0.000275723;56.5787
534;0.000282423;57.7683
535;0.000288776;58.9028
536;0.000294631;59.9517
537;0.000299884;60.8977
538;0.000304445;61.7203
539;0.000308253;62.4102
540;0.000311258;62.9548
541;0.000313428;63.3495
542;0.000314738;63.5874
543;0.000315177;63.6676
544;0.000314739;63.5876
545;0.00031343;63.3497
546;0.000311261;62.9555
547;0.000308258;62.4107
548;0.00030445;61.7215
549;0.00029989;60.8982
550;0.000294638;59.9532
551;0.000288782;58.9034
552;0.00028243;57.7698
553;0.000275729;56.5791
554;0.000268857;55.3651
555;0.000262046;54.1688
556;0.000255575;53.0406
557;0.000249789;52.0398
558;0.000245076;51.2351
559;0.000241873;50.7004
560;0.000240612;50.5112
561;0.000246108;51.6681
562;0.000246782;51.7444
563;0.000249165;52.1265
564;0.000252923;52.7536
565;0.000257687;53.5652
566;0.000263137;54.5025
567;0.000268963;55.5146
568;0.00027492;56.5547
569;0.000280788;57.5868
570;0.000286396;58.5766
571;0.000291605;59.5012
572;0.000296301;60.3368
573;0.0003004;61.0695
574;0.000303833;61.6838
575;0.000306552;62.1722
576;0.000308517;62.5251
577;0.000309707;62.7395
578;0.000310105;62.8108
579;0.000309708;62.7396
580;0.000308519;62.5255
581;0.000306555;62.1725
582;0.000303837;61.6846
583;0.000300405;61.07
584;0.000296306;60.3378
585;0.00029161;59.5017
586;0.000286401;58.5778
587;0.000280794;57.5872
588;0.000274923;56.5557
589;0.000268968;55.5149
590;0.000263137;54.5029
591;0.00025769;53.5651
592;0.00025292;52.7533
593;0.000249165;52.1259
594;0.000246776;51.7436
595;0.000246105;51.6673
596;0.000250848;52.665
597;0.000251056;52.6538
598;0.000252782;52.9128
599;0.000255735;53.3929
600;0.000259636;54.0442
601;0.000264192;54.8176
602;0.000269153;55.6674
603;0.000274285;56.5545
604;0.000279397;57.4424
605;0.000284322;58.3037
606;0.000288928;59.1116
607;0.000293106;59.8483
608;0.000296768;60.4951
609;0.000299848;61.0414
610;0.000302292;61.4752
611;0.000304065;61.7908
612;0.000305138;61.9815
613;0.000305498;62.0459
614;0.000305138;61.9817
615;0.000304066;61.791
616;0.000302294;61.4756
617;0.000299851;61.0417
618;0.000296771;60.4959
619;0.00029311;59.8487
620;0.000288932;59.1125
621;0.000284327;58.3041
622;0.0002794;57.4432
623;0.00027429;56.5548
624;0.000269155;55.6679
625;0.000264195;54.8177
626;0.000259634;54.0441
627;0.000255736;53.3927
628;0.000252778;52.9123
629;0.000251055;52.6533
630;0.000250845;52.6644
631;0.000254914;53.521
632;0.000254771;53.4431
633;0.000255955;53.6034
634;0.00025825;53.9622
635;0.000261407;54.4785
636;0.000265199;55.1106
637;0.000269393;55.8201
638;0.000273794;56.5705
639;0.000278219;57.3316
640;0.000282523;58.0749
641;0.000286574;58.779
642;0.000290269;59.423
643;0.000293524;59.9928
644;0.000296271;60.4743
645;0.000298458;60.8591
646;0.000300047;61.1384
647;0.000301011;61.3086
648;0.000301334;61.3653
649;0.000301011;61.3086
650;0.000300048;61.1387
651;0.000298461;60.8593
652;0.000296273;60.4748
653;0.000293528;59.9931
654;0.000290272;59.4236
655;0.000286578;58.7794
656;0.000282525;58.0756
657;0.000278223;57.3319
658;0.000273795;56.571
659;0.000269396;55.8202
660;0.000265198;55.1107
661;0.000261409;54.4785
662;0.000258248;53.9619
663;0.000255955;53.6031
664;0.000254768;53.4427
665;0.000254913;53.5206
666;0.00025839;54.2521
667;0.000257976;54.1245
668;0.000258733;54.2066
669;0.000260475;54.466
670;0.000263013;54.8692
671;0.000266139;55.3811
672;0.000269668;55.9683
673;0.000273416;56.5999
674;0.00027723;57.2471
675;0.000280967;57.8863
676;0.000284512;58.4949
677;0.000287763;59.0563
678;0.000290641;59.5541
679;0.000293078;59.9776
680;0.000295024;60.3159
681;0.000296441;60.563
682;0.000297301;60.7128
683;0.00029759;60.7635
684;0.000297301;60.7129
685;0.000296442;60.5631
686;0.000295025;60.3162
687;0.000293081;59.9778
688;0.000290643;59.5546
689;0.000287767;59.0566
690;0.000284514;58.4954
691;0.000280971;57.8866
692;0.000277232;57.2475
693;0.000273419;56.6001
694;0.000269668;55.9685
695;0.000266141;55.3812
696;0.000263012;54.869
697;0.000260476;54.4658
698;0.000258731;54.2062
699;0.000257975;54.1243
700;0.000258388;54.2518
701;0.000261339;54.873
702;0.00026073;54.7097
703;0.000261143;54.7304
704;0.000262439;54.9092
705;0.000264448;55.2182
706;0.000267011;55.6281
707;0.000269956;56.1105
708;0.000273135;56.6377
