label;LE_max;S_max
31214;0.00110105;225.581
31215;0.000664086;143.031
31216;0.0010674;224.835
31217;0.00118505;244.567
31218;0.00101946;213.287
31219;0.00118033;237.348
31220;0.00119816;241.153
31221;0.00119279;239.442
31222;0.000698629;154.073
31223;0.0011988;242.749
31224;0.000263456;54.3053
31225;0.000396889;85.7456
31226;0.000659201;145.881
31227;0.000714938;155.689
31228;0.000731359;160.37
31229;0.000437716;93.9003
31230;0.000662237;146.844
31231;0.000708431;155.37
31232;0.00076623;167.188
31233;0.000694613;153.031
31234;0.00042846;91.5861
31235;0.000912407;192.741
31236;0.000843537;182.542
31237;0.000433745;92.1543
31238;0.000336131;73.5181
31239;0.000768497;167.683
31240;0.000804776;174.834
31241;0.000426547;93.4669
31242;0.000829099;179.004
31243;0.000501387;109.657
31244;0.000403774;78.2766
31245;0.00119374;252.693
31246;0.000700864;148.359
31247;0.00119566;253.648
31248;0.0011164;238.449
31249;0.00109067;229.736
31250;0.000885158;190.123
31251;0.0010964;233.793
31252;0.000901338;192.851
31253;0.000841927;182.156
31254;0.000778948;169.28
31255;0.00109967;231.243
31256;0.000272561;56.3938
31257;0.000608142;134.7
31258;0.0011339;236.313
31259;0.00113795;236.059
31260;0.000998651;212.648
31261;0.00113379;237.28
31262;0.00113419;235.973
31263;0.000611021;135.386
31264;0.000914873;195.939
31265;0.0007778;168.18
31266;0.00112605;234.683
31267;0.00103851;219.458
31268;0.00102121;216.104
31269;0.00114898;236.587
31270;0.00113674;234.954
31271;0.00113537;236.12
31272;0.0011424;238.423
31273;0.00101086;216.28
31274;0.00101938;218.349
31275;0.00117846;251.715
31276;0.00105784;228.444
31277;0.00120547;253.251
31278;0.000763659;164.219
31279;0.000663864;145.459
31280;0.000770439;166.689
31281;0.000716785;156.377
31282;0.000709462;154.896
31283;0.00074885;162.838
31284;0.000744923;162.149
31285;0.000736268;160.297
31286;0.00111286;242.353
31287;0.00126106;276.248
31288;0.001149;246.306
31289;0.00126592;267.867
31290;0.00114729;239.946
31291;0.000607074;134.047
31292;0.00115135;241.524
31293;0.00121149;254.67
31294;0.00118426;248.639
31295;0.00116243;247.494
31296;0.00126972;273.057
31297;0.00118321;254.969
31298;0.00139556;309.679
31299;0.00131745;285.147
31300;0.000911987;192.173
31301;0.00119296;250.994
31302;0.00134078;278.372
31303;0.00155251;336.091
31304;0.000580792;129.365
31305;0.00191602;422.925
31306;0.0013447;285.315
31307;0.00137566;304.88
31308;0.00115366;241.536
31309;0.00104297;217.663
31310;0.00103667;216.083
31311;0.00108161;225.897
31312;0.00107454;223.474
31313;0.00105859;220.057
31314;0.00105702;220.387
31315;0.00114315;238.85
31316;0.00059095;130.943
31317;0.00116076;243.606
31318;0.00116129;247.832
31319;0.00123075;257.215
31320;0.00116718;246.329
31321;0.00116051;236.651
31322;0.00113287;230.988
31323;0.00101764;209.869
31324;0.000433847;76.8879
31325;0.00113141;232.09
31326;0.00113786;232.874
31327;0.00112234;230.344
31328;0.00111308;215.953
31329;0.00173378;375.097
31330;0.00122315;249.172
31331;0.00113049;230.43
31332;0.00112509;230.345
31333;0.00115869;242.735
31334;0.00108774;219.991
31335;0.000590237;131.623
31336;0.0011423;235.875
31337;0.00112157;234.697
31338;0.000605403;133.351
31339;0.00105416;215.686
31340;0.00107844;220.802
31341;0.000969942;201.021
31342;0.00101378;207.862
31343;0.00114001;232.287
31344;0.00106657;219.58
31345;0.00112392;229.129
31346;0.000573049;127.665
31347;0.00138517;284.369
31348;0.00120891;263.455
31349;0.00124494;271.971
31350;0.000885691;185.541
31351;0.00140975;301.061
31352;0.00127185;271.527
31353;0.00130383;284.313
31354;0.00123826;265.3
31355;0.00105396;220.458
31356;0.00103803;218.707
31357;0.00124384;267.96
31358;0.00113482;236.232
31359;0.00115367;234.368
31360;0.00102087;210.574
31361;0.000985348;205.112
31362;0.000899526;188.856
31363;0.0010752;224.865
31364;0.000944445;198.233
31365;0.000959566;196.367
31366;0.000869976;181.081
31367;0.000880113;182.876
31368;0.000987703;204.443
31369;0.000942145;197.89
31370;0.0010212;208.154
31371;0.000885034;181.082
31372;0.00120302;247.273
31373;0.0010101;211.765
31374;0.000873823;184.662
31375;0.00102905;211.564
31376;0.000856068;176.337
31377;0.000971492;206.759
31378;0.000442155;94.2734
