label;E_vol
1;1.09385
2;1.09389
3;1.09391
4;1.09393
5;1.09394
6;1.09395
7;1.09396
8;1.09396
9;1.09397
10;1.09397
11;1.09398
12;1.09398
13;1.09398
14;1.09399
15;1.09399
16;1.09399
17;1.09399
18;1.09399
19;1.09399
20;1.094
21;1.094
22;1.094
23;1.094
24;1.094
25;1.094
26;1.094
27;1.094
28;1.094
29;1.094
30;1.094
31;1.094
32;1.094
33;1.094
34;1.094
35;1.094
36;1.094
37;1.094
38;1.094
39;1.094
40;1.094
41;1.09384
42;1.09389
43;1.09391
44;1.09393
45;1.09394
46;1.09395
47;1.09396
48;1.09397
49;1.09397
50;1.09398
51;1.09398
52;1.09398
53;1.09398
54;1.09399
55;1.09399
56;1.09399
57;1.09399
58;1.09399
59;1.09399
60;1.094
61;1.094
62;1.094
63;1.094
64;1.094
65;1.094
66;1.094
67;1.094
68;1.094
69;1.094
70;1.094
71;1.094
72;1.094
73;1.094
74;1.094
75;1.094
76;1.094
77;1.094
78;1.094
79;1.094
80;1.094
81;1.09384
82;1.09388
83;1.09391
84;1.09393
85;1.09394
86;1.09395
87;1.09396
88;1.09397
89;1.09397
90;1.09398
91;1.09398
92;1.09398
93;1.09398
94;1.09399
95;1.09399
96;1.09399
97;1.09399
98;1.09399
99;1.09399
100;1.094
101;1.094
102;1.094
103;1.094
104;1.094
105;1.094
106;1.094
107;1.094
108;1.094
109;1.094
110;1.094
111;1.094
112;1.094
113;1.094
114;1.094
115;1.094
116;1.094
117;1.094
118;1.094
119;1.094
120;1.094
121;1.09384
122;1.09388
123;1.09391
124;1.09393
125;1.09394
126;1.09395
127;1.09396
128;1.09397
129;1.09397
130;1.09398
131;1.09398
132;1.09398
133;1.09398
134;1.09399
135;1.09399
136;1.09399
137;1.09399
138;1.09399
139;1.09399
140;1.094
141;1.094
142;1.094
143;1.094
144;1.094
145;1.094
146;1.094
147;1.094
148;1.094
149;1.094
150;1.094
151;1.094
152;1.094
153;1.094
154;1.094
155;1.094
156;1.094
157;1.094
158;1.094
159;1.094
160;1.094
161;1.09384
162;1.09389
163;1.09391
164;1.09393
165;1.09394
166;1.09395
167;1.09396
168;1.09397
169;1.09397
170;1.09398
171;1.09398
172;1.09398
173;1.09398
174;1.09399
175;1.09399
176;1.09399
177;1.09399
178;1.09399
179;1.09399
180;1.094
181;1.094
182;1.094
183;1.094
184;1.094
185;1.094
186;1.094
187;1.094
188;1.094
189;1.094
190;1.094
191;1.094
192;1.094
193;1.094
194;1.094
195;1.094
196;1.094
197;1.094
198;1.094
199;1.094
200;1.094
201;1.09385
202;1.09389
203;1.09391
204;1.09393
205;1.09394
206;1.09395
207;1.09396
208;1.09396
209;1.09397
210;1.09397
211;1.09398
212;1.09398
213;1.09398
214;1.09399
215;1.09399
216;1.09399
217;1.09399
218;1.09399
219;1.09399
220;1.094
221;1.094
222;1.094
223;1.094
224;1.094
225;1.094
226;1.094
227;1.094
228;1.094
229;1.094
230;1.094
231;1.094
232;1.094
233;1.094
234;1.094
235;1.094
236;1.094
237;1.094
238;1.094
239;1.094
240;1.094
241;1.09392
242;1.09392
243;1.09393
244;1.09394
245;1.09395
246;1.09395
247;1.09396
248;1.09397
249;1.09397
250;1.09398
251;1.09398
252;1.09398
253;1.09398
254;1.09399
255;1.09399
256;1.09399
257;1.09399
258;1.09399
259;1.09399
260;1.09399
261;1.094
262;1.094
263;1.094
264;1.094
265;1.094
266;1.094
267;1.094
268;1.094
269;1.094
270;1.094
271;1.094
272;1.094
273;1.094
274;1.094
275;1.094
276;1.094
277;1.094
278;1.094
279;1.094
280;1.094
281;1.09391
282;1.09391
283;1.09393
284;1.09394
285;1.09395
286;1.09396
287;1.09396
288;1.09397
289;1.09397
290;1.09398
291;1.09398
292;1.09398
293;1.09398
294;1.09399
295;1.09399
296;1.09399
297;1.09399
298;1.09399
299;1.09399
300;1.09399
301;1.094
302;1.094
303;1.094
304;1.094
305;1.094
306;1.094
307;1.094
308;1.094
309;1.094
310;1.094
311;1.094
312;1.094
313;1.094
314;1.094
315;1.094
316;1.094
317;1.094
318;1.094
319;1.094
320;1.094
321;1.09391
322;1.09391
323;1.09393
324;1.09394
325;1.09395
326;1.09396
327;1.09396
328;1.09397
329;1.09397
330;1.09398
331;1.09398
332;1.09398
333;1.09398
334;1.09399
335;1.09399
336;1.09399
337;1.09399
338;1.09399
339;1.09399
340;1.09399
341;1.094
342;1.094
343;1.094
344;1.094
345;1.094
346;1.094
347;1.094
348;1.094
349;1.094
350;1.094
351;1.094
352;1.094
353;1.094
354;1.094
355;1.094
356;1.094
357;1.094
358;1.094
359;1.094
360;1.094
361;1.09391
362;1.09391
363;1.09393
364;1.09394
365;1.09395
366;1.09396
367;1.09396
368;1.09397
369;1.09397
370;1.09398
371;1.09398
372;1.09398
373;1.09398
374;1.09399
375;1.09399
376;1.09399
377;1.09399
378;1.09399
379;1.09399
380;1.09399
381;1.094
382;1.094
383;1.094
384;1.094
385;1.094
386;1.094
387;1.094
388;1.094
389;1.094
390;1.094
391;1.094
392;1.094
393;1.094
394;1.094
395;1.094
396;1.094
397;1.094
398;1.094
399;1.094
400;1.094
401;1.09391
402;1.09391
403;1.09393
404;1.09394
405;1.09395
406;1.09396
407;1.09396
408;1.09397
409;1.09397
410;1.09398
411;1.09398
412;1.09398
413;1.09398
414;1.09399
415;1.09399
416;1.09399
417;1.09399
418;1.09399
419;1.09399
420;1.09399
421;1.094
422;1.094
423;1.094
424;1.094
425;1.094
426;1.094
427;1.094
428;1.094
429;1.094
430;1.094
431;1.094
432;1.094
433;1.094
434;1.094
435;1.094
436;1.094
437;1.094
438;1.094
439;1.094
440;1.094
441;1.09392
442;1.09392
443;1.09393
444;1.09394
445;1.09395
446;1.09395
447;1.09396
448;1.09397
449;1.09397
450;1.09398
451;1.09398
452;1.09398
453;1.09398
454;1.09399
455;1.09399
456;1.09399
457;1.09399
458;1.09399
459;1.09399
460;1.09399
461;1.094
462;1.094
463;1.094
464;1.094
465;1.094
466;1.094
467;1.094
468;1.094
469;1.094
470;1.094
471;1.094
472;1.094
473;1.094
474;1.094
475;1.094
476;1.094
477;1.094
478;1.094
479;1.094
480;1.094
481;1.09395
482;1.09394
483;1.09395
484;1.09395
485;1.09396
486;1.09396
487;1.09397
488;1.09397
489;1.09397
490;1.09398
491;1.09398
492;1.09398
493;1.09399
494;1.09399
495;1.09399
496;1.09399
497;1.09399
498;1.09399
499;1.09399
500;1.09399
501;1.094
502;1.094
503;1.094
504;1.094
505;1.094
506;1.094
507;1.094
508;1.094
509;1.094
510;1.094
511;1.094
512;1.094
513;1.094
514;1.094
515;1.094
516;1.094
517;1.094
518;1.094
519;1.094
520;1.094
521;1.09395
522;1.09394
523;1.09394
524;1.09395
525;1.09396
526;1.09396
527;1.09397
528;1.09397
529;1.09397
530;1.09398
531;1.09398
532;1.09398
533;1.09399
534;1.09399
535;1.09399
536;1.09399
537;1.09399
538;1.09399
539;1.09399
540;1.09399
541;1.094
542;1.094
543;1.094
544;1.094
545;1.094
546;1.094
547;1.094
548;1.094
549;1.094
550;1.094
551;1.094
552;1.094
553;1.094
554;1.094
555;1.094
556;1.094
557;1.094
558;1.094
559;1.094
560;1.094
561;1.09395
562;1.09394
563;1.09394
564;1.09395
565;1.09396
566;1.09396
567;1.09397
568;1.09397
569;1.09397
570;1.09398
571;1.09398
572;1.09398
573;1.09399
574;1.09399
575;1.09399
576;1.09399
577;1.09399
578;1.09399
579;1.09399
580;1.09399
581;1.094
582;1.094
583;1.094
584;1.094
585;1.094
586;1.094
587;1.094
588;1.094
589;1.094
590;1.094
591;1.094
592;1.094
593;1.094
594;1.094
595;1.094
596;1.094
597;1.094
598;1.094
599;1.094
600;1.094
601;1.09395
602;1.09394
603;1.09394
604;1.09395
605;1.09396
606;1.09396
607;1.09397
608;1.09397
609;1.09397
610;1.09398
611;1.09398
612;1.09398
613;1.09399
614;1.09399
