label;LE_max;S_max
1;0.00015347;30.9962
2;0.000322029;64.7508
3;0.000428292;86.2771
4;0.000504975;102.046
5;0.000559332;113.401
6;0.000598446;121.735
7;0.000625759;127.684
8;0.000644754;131.949
9;0.000657391;134.895
10;0.000665671;136.927
11;0.000670733;138.251
12;0.000673764;139.113
13;0.00067536;139.613
14;0.000676169;139.889
15;0.000676365;139.963
16;0.000676169;139.889
17;0.00067536;139.613
18;0.000673764;139.113
19;0.000670733;138.251
20;0.000665671;136.927
21;0.000657391;134.895
22;0.000644754;131.949
23;0.000625759;127.684
24;0.000598446;121.735
25;0.000559332;113.401
26;0.000504975;102.045
27;0.000428292;86.2771
28;0.000322029;64.7508
29;0.00015347;30.9962
30;0.000210349;43.2697
31;0.00033521;67.37
32;0.000430793;86.5415
33;0.000499844;100.616
34;0.000551591;111.379
35;0.00058924;119.351
36;0.000616812;125.32
37;0.000636331;129.653
38;0.000650104;132.808
39;0.000659395;135.018
40;0.000665609;136.563
41;0.000669483;137.576
42;0.000671847;138.225
43;0.00067303;138.567
44;0.000673436;138.685
45;0.00067303;138.567
46;0.000671847;138.225
47;0.000669483;137.576
48;0.000665609;136.563
49;0.000659395;135.018
50;0.000650105;132.808
51;0.000636331;129.653
52;0.000616812;125.32
53;0.00058924;119.351
54;0.000551591;111.379
55;0.000499844;100.616
56;0.000430793;86.5415
57;0.00033521;67.37
58;0.000210349;43.2697
59;0.000257975;53.6982
60;0.000348043;70.7713
61;0.000431525;86.9878
62;0.000495313;99.7792
63;0.00054376;109.679
64;0.000580478;117.352
65;0.000607698;123.152
66;0.000627829;127.548
67;0.000642267;130.781
68;0.000652565;133.158
69;0.000659589;134.831
70;0.000664316;135.996
71;0.000667215;136.734
72;0.000668838;137.157
73;0.000669312;137.283
74;0.000668838;137.157
75;0.000667215;136.734
76;0.000664316;135.996
77;0.000659589;134.831
78;0.000652565;133.158
79;0.000642267;130.781
80;0.000627829;127.548
81;0.000607698;123.152
82;0.000580479;117.352
83;0.00054376;109.679
84;0.000495313;99.7792
85;0.000431525;86.9878
86;0.000348043;70.7713
87;0.000257975;53.6982
88;0.000299584;62.5784
89;0.000364461;74.8386
90;0.000433017;87.9253
91;0.000491094;99.2671
