label;E_vol
1;0.900013
2;0.900037
3;0.900057
4;0.900076
5;0.90009
6;0.900102
7;0.900114
8;0.900124
9;0.900132
10;0.900138
11;0.900143
12;0.900148
13;0.900151
14;0.900154
15;0.900156
16;0.900158
17;0.900158
18;0.900159
19;0.900158
20;0.900158
21;0.900156
22;0.900154
23;0.900151
24;0.900148
25;0.900143
26;0.900138
27;0.900131
28;0.900123
29;0.900114
30;0.900103
31;0.90009
32;0.900075
33;0.900058
34;0.900037
35;0.900013
36;0.900024
37;0.900043
38;0.90006
39;0.900075
40;0.900088
41;0.9001
42;0.90011
43;0.900119
44;0.900126
45;0.900133
46;0.900138
47;0.900142
48;0.900146
49;0.900148
50;0.90015
51;0.900152
52;0.900153
53;0.900153
54;0.900153
55;0.900152
56;0.90015
57;0.900148
58;0.900146
59;0.900142
60;0.900138
61;0.900132
62;0.900126
63;0.900119
64;0.90011
65;0.9001
66;0.900088
67;0.900075
68;0.90006
69;0.900043
70;0.900025
71;0.900037
72;0.90005
73;0.900064
74;0.900076
75;0.900088
76;0.900098
77;0.900107
78;0.900115
79;0.900122
80;0.900128
81;0.900133
82;0.900137
83;0.900141
84;0.900143
85;0.900145
86;0.900147
87;0.900147
88;0.900148
89;0.900147
90;0.900147
91;0.900145
92;0.900143
93;0.900141
94;0.900137
95;0.900133
96;0.900128
97;0.900122
98;0.900115
99;0.900107
100;0.900098
101;0.900088
102;0.900076
103;0.900064
104;0.900051
105;0.900037
106;0.900049
107;0.900059
108;0.900069
109;0.900079
110;0.900089
111;0.900098
112;0.900106
113;0.900113
114;0.900119
115;0.900124
116;0.900129
117;0.900133
118;0.900136
119;0.900139
120;0.900141
121;0.900142
122;0.900143
123;0.900143
124;0.900143
125;0.900142
126;0.900141
127;0.900139
128;0.900136
129;0.900133
130;0.900129
131;0.900124
132;0.900119
133;0.900113
134;0.900106
135;0.900098
136;0.900089
137;0.900079
138;0.900069
139;0.900058
140;0.900049
141;0.900059
142;0.900066
143;0.900074
144;0.900082
145;0.90009
146;0.900098
147;0.900105
148;0.900111
149;0.900117
150;0.900122
151;0.900126
152;0.90013
153;0.900133
154;0.900135
155;0.900137
156;0.900138
157;0.900139
158;0.900139
159;0.900139
160;0.900138
161;0.900137
162;0.900135
163;0.900133
164;0.90013
165;0.900126
166;0.900122
167;0.900117
168;0.900111
169;0.900105
170;0.900098
171;0.90009
172;0.900082
173;0.900074
174;0.900066
175;0.900059
176;0.900068
177;0.900073
178;0.90008
179;0.900086
180;0.900092
181;0.900099
182;0.900105
183;0.90011
184;0.900115
185;0.90012
186;0.900123
187;0.900127
188;0.90013
189;0.900132
190;0.900133
191;0.900135
192;0.900135
193;0.900136
194;0.900135
195;0.900135
196;0.900133
197;0.900132
198;0.900129
199;0.900127
200;0.900123
201;0.90012
202;0.900115
203;0.90011
204;0.900105
205;0.900099
206;0.900093
207;0.900086
208;0.90008
209;0.900073
210;0.900068
211;0.900076
212;0.90008
213;0.900084
214;0.90009
215;0.900095
216;0.9001
217;0.900105
218;0.90011
219;0.900114
220;0.900118
221;0.900122
222;0.900124
223;0.900127
224;0.900129
225;0.900131
226;0.900132
227;0.900132
228;0.900133
229;0.900132
230;0.900132
231;0.900131
232;0.900129
233;0.900127
234;0.900124
235;0.900122
236;0.900118
237;0.900114
238;0.90011
239;0.900105
240;0.9001
241;0.900095
242;0.90009
243;0.900084
244;0.90008
245;0.900076
246;0.900082
247;0.900085
248;0.900089
249;0.900093
250;0.900097
251;0.900102
252;0.900106
253;0.90011
254;0.900114
255;0.900117
256;0.90012
257;0.900123
258;0.900125
259;0.900127
260;0.900128
261;0.900129
262;0.90013
263;0.90013
264;0.90013
265;0.900129
266;0.900128
267;0.900127
268;0.900125
269;0.900123
270;0.90012
271;0.900117
272;0.900114
273;0.90011
274;0.900106
275;0.900102
276;0.900097
277;0.900093
278;0.900089
279;0.900085
280;0.900082
281;0.900088
282;0.900091
283;0.900093
284;0.900096
285;0.9001
286;0.900103
287;0.900107
288;0.90011
289;0.900113
290;0.900116
291;0.900119
292;0.900121
293;0.900123
294;0.900125
295;0.900126
296;0.900127
297;0.900128
298;0.900128
299;0.900128
300;0.900127
301;0.900126
302;0.900125
303;0.900123
304;0.900121
305;0.900119
306;0.900116
307;0.900113
308;0.90011
309;0.900107
310;0.900103
311;0.9001
312;0.900096
313;0.900093
314;0.900091
315;0.900088
316;0.900093
317;0.900095
318;0.900097
319;0.9001
320;0.900102
321;0.900105
322;0.900108
323;0.900111
324;0.900113
325;0.900116
326;0.900118
327;0.90012
328;0.900122
329;0.900123
330;0.900125
331;0.900125
332;0.900126
333;0.900126
334;0.900126
335;0.900125
336;0.900125
337;0.900123
338;0.900122
339;0.90012
340;0.900118
341;0.900116
342;0.900113
343;0.900111
344;0.900108
345;0.900105
346;0.900102
347;0.9001
348;0.900097
349;0.900095
350;0.900093
351;0.900098
352;0.900099
353;0.9001
354;0.900102
355;0.900104
356;0.900107
357;0.900109
358;0.900111
359;0.900114
360;0.900116
361;0.900118
362;0.900119
363;0.900121
364;0.900122
365;0.900123
366;0.900124
367;0.900124
